topology,method,overall,head20,middle60,tail,nontail,initial_tail,peak,peak_round,onset,onset_confirm,final_tail,peak_to_final,peak_to_last20,drop_per10,tail_41_50,tail_81_90,tail_0_20_gain,tail_20_100_change,optimizer_steps,a_final_drift,a_final_subspace_distance,effective_update_path
client-longtail,e3,69.64549999999998,74.5775,67.465,71.25499999999998,69.24312500000002,66.35,71.4,89,,,71.05,0.3500000000000085,0.14500000000002444,-0.301249999999996,70.09,71.29499999999999,2.0500000000000114,2.6499999999999915,108768,0.18689539560881482,0.05064503897617454,0.753730039595226
client-longtail,j,71.196,78.55999999999999,72.38333333333333,60.27,73.9275,66.35,71.7,22,28,32,59.55,12.150000000000006,11.43,1.4900000000000002,66.68,60.720000000000006,5.150000000000006,-11.950000000000003,108768,2.1027231556689787,0.3221553473272665,1.6074476606856902
client-longtail,s,70.91,76.8375,69.68333333333335,68.6625,71.471875,66.35,71.8,46,65,69,68.35,3.450000000000003,3.137500000000003,0.6724999999999994,71.565,68.875,3.9000000000000057,-1.9000000000000057,137280,0.6740309148623005,0.16051700760108112,0.9891805518060718
noniid-labeldir-fine,e3,69.60349999999998,74.535,67.155,72.0175,68.99999999999999,66.35,72.15,98,,,72.1,0.05000000000001137,0.1325000000000074,-0.3837499999999956,70.42500000000001,71.96,2.0,3.75,109386,0.18089299950385682,0.04953237850582013,0.7328237106814653
noniid-labeldir-fine,j,72.29249999999999,77.2025,70.96666666666667,71.36,72.525625,66.35,73.05,28,39,43,71.25,1.7999999999999972,1.6899999999999977,0.09375,71.78,71.405,5.900000000000006,-1.0,109386,2.030015961792366,0.3184295605860291,1.5387752871608484
noniid-labeldir-fine,s,71.01400000000001,75.59000000000002,69.06083333333333,72.29749999999999,70.693125,66.35,72.9,57,,,72.0,0.9000000000000057,0.6025000000000205,-0.015000000000000568,72.4,72.46000000000001,3.950000000000003,1.7000000000000028,138060,0.6438323729799051,0.1572471627037164,0.9410514787242807
