topology,method,phase,events,W,H,D,R,support_access,positive_support_access,direct_change,net,rho,mu,D_share_positive
client-longtail,c1,normal_B,7,0.00046316292065763903,5.247283762527228e-05,0.004922164966713722,0.0007250701263336415,0.0731354291509173,0.05811284226053287,0.00460772709255772,0.0046077849234124465,0.7945922097567126,0.007970061395055779,0.9139954093150465
client-longtail,c1,extra_B,9,0.0001027483885727855,1.040823947817884e-05,0.0010706896155030445,0.00013336858865304447,0.0731354291509173,0.05901529352714011,0.0010296258558001783,0.0010296611759446066,0.8069316637953976,0.001741046810612461,0.9124381618663293
client-longtail,c2,normal_B,7,0.001172961480752324,0.0004568694798760458,0.008435103564313302,0.010805704660781295,0.0731354291509173,0.05228700496516482,-0.0016544950061610764,-0.0016545090955917153,0.7149340008283662,0.02243313575780036,0.8779190736895858
client-longtail,c2,refresh_A,9,0.002777693937304183,0.001728840076178303,0.03173128968472368,0.027568322397604997,0.0731354291509173,0.04407055714329614,0.005211660824716088,0.005211821148244568,0.6025883440480693,0.06302833722461156,0.9195080919296876
matched-dirichlet,c1,normal_B,7,0.0013039384466727287,0.00010807782962256835,0.004236696664554858,0.0006819358208779216,0.19970959712362865,0.16043079719211367,0.004750609344669751,0.004750621460727096,0.8033204187618498,0.008127731517230325,0.7646590290650223
matched-dirichlet,c1,extra_B,9,0.0002857662605049904,1.7997093304899882e-05,0.000916991466111366,0.00011999171649757888,0.19970959712362862,0.16564692746586357,0.0010647407241372597,0.0010647689168138779,0.8294389946784639,0.001725152798646875,0.7624074623000603
matched-dirichlet,c2,normal_B,7,0.003214087759664513,0.0016666077662328862,0.008151022000676222,0.010286549693718092,0.19970959712362865,0.13324882455978612,-0.0005878077919727985,-0.0005880476996102443,0.6672129255626083,0.02412094643448367,0.7171969450853635
matched-dirichlet,c2,refresh_A,9,0.007583049869972281,0.005387834279827248,0.02837409132928021,0.020172684000709096,0.19970959712362862,0.11403716337338538,0.01039659064004405,0.01039662291871615,0.5710149387702764,0.06649630388598438,0.7891086549970239
