family,path,rows,columns,bytes
PromptFL_fedavg_vit_b16_batchSize32,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.1_IF=0.01_localE=3_seed=2026/round_metrics.csv,21,epoch; method; partition; overall_acc; non_tail_acc; bottom20_tail_acc; macro_per_class_acc; head_acc; medium_acc; tail_acc; macro_f1; seed; tail_class_ratio,2295
PromptFL_fedavg_vit_b16_batchSize32,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.1_IF=0.01_localE=3_seed=42/round_metrics.csv,21,epoch; method; partition; overall_acc; non_tail_acc; bottom20_tail_acc; macro_per_class_acc; head_acc; medium_acc; tail_acc; macro_f1; seed; tail_class_ratio,2256
PromptFL_fedavg_vit_b16_batchSize32,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.25_IF=0.01_localE=3_seed=1/round_metrics.csv,21,epoch; method; partition; overall_acc; non_tail_acc; bottom20_tail_acc; macro_per_class_acc; head_acc; medium_acc; tail_acc; macro_f1; seed; tail_class_ratio,2230
PromptFL_fedavg_vit_b16_batchSize32,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.25_IF=0.01_localE=3_seed=2026/round_metrics.csv,21,epoch; method; partition; overall_acc; non_tail_acc; bottom20_tail_acc; macro_per_class_acc; head_acc; medium_acc; tail_acc; macro_f1; seed; tail_class_ratio,2302
PromptFL_fedavg_vit_b16_batchSize32,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.25_IF=0.01_localE=3_seed=42/round_metrics.csv,21,epoch; method; partition; overall_acc; non_tail_acc; bottom20_tail_acc; macro_per_class_acc; head_acc; medium_acc; tail_acc; macro_f1; seed; tail_class_ratio,2249
PromptFL_fedavg_vit_b16_batchSize32,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.5_IF=0.01_localE=3_seed=1/round_metrics.csv,21,epoch; method; partition; overall_acc; non_tail_acc; bottom20_tail_acc; macro_per_class_acc; head_acc; medium_acc; tail_acc; macro_f1; seed; tail_class_ratio,2219
PromptFL_fedavg_vit_b16_batchSize32,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.5_IF=0.01_localE=3_seed=2026/round_metrics.csv,21,epoch; method; partition; overall_acc; non_tail_acc; bottom20_tail_acc; macro_per_class_acc; head_acc; medium_acc; tail_acc; macro_f1; seed; tail_class_ratio,2295
PromptFL_fedavg_vit_b16_batchSize32,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.5_IF=0.01_localE=3_seed=42/round_metrics.csv,21,epoch; method; partition; overall_acc; non_tail_acc; bottom20_tail_acc; macro_per_class_acc; head_acc; medium_acc; tail_acc; macro_f1; seed; tail_class_ratio,2253
PromptFL_fedavg_vit_b16_batchSize32,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.75_IF=0.01_localE=3_seed=2026/round_metrics.csv,21,epoch; method; partition; overall_acc; non_tail_acc; bottom20_tail_acc; macro_per_class_acc; head_acc; medium_acc; tail_acc; macro_f1; seed; tail_class_ratio,2303
PromptFL_fedavg_vit_b16_batchSize32,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=0.75_IF=0.01_localE=3_seed=42/round_metrics.csv,21,epoch; method; partition; overall_acc; non_tail_acc; bottom20_tail_acc; macro_per_class_acc; head_acc; medium_acc; tail_acc; macro_f1; seed; tail_class_ratio,2233
PromptFL_fedavg_vit_b16_batchSize32,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=1.0_IF=0.01_localE=3_seed=2026/round_metrics.csv,21,epoch; method; partition; overall_acc; non_tail_acc; bottom20_tail_acc; macro_per_class_acc; head_acc; medium_acc; tail_acc; macro_f1; seed; tail_class_ratio,2276
PromptFL_fedavg_vit_b16_batchSize32,output/PromptFL_fedavg_vit_b16_batchSize32/PanelC_users30_localE3/partition=noniid-labeldir-fine_alpha=1.0_IF=0.01_localE=3_seed=42/round_metrics.csv,21,epoch; method; partition; overall_acc; non_tail_acc; bottom20_tail_acc; macro_per_class_acc; head_acc; medium_acc; tail_acc; macro_f1; seed; tail_class_ratio,2257
