group,averaging,rounds,token_count,class_count,supported_token_rounds,excluded_unsupported_token_rounds,min_supported_classes,supported_fraction_mean_over_rounds,supported_fraction_min_over_rounds,supported_fraction_max_over_rounds,nonholder_exists_given_supported_mean_over_rounds,nonholder_exists_given_supported_min_over_rounds,nonholder_exists_given_supported_max_over_rounds,nonholder_positive_share_given_supported_mean_over_rounds,nonholder_positive_share_given_supported_min_over_rounds,nonholder_positive_share_given_supported_max_over_rounds,nonholder_candidate_share_given_supported_mean_over_rounds,nonholder_candidate_share_given_supported_min_over_rounds,nonholder_candidate_share_given_supported_max_over_rounds
all,token_equal,90,1516,100,129348,7092,94,0.9480211081794193,0.6787598944591029,0.9993403693931399,0.956277666165433,0.8641114982578397,0.997229916897507,0.313880216049304,0.29731977481651545,0.32717389121022994,0.37730117285099984,0.36047942986718495,0.3809114927344782
all,class_equal,90,1516,100,129348,7092,94,0.941780617774956,0.6555526351221903,0.9994444444444445,0.9641080821610621,0.8779314752618496,0.9974955504703787,0.4405282717083816,0.43027695339379934,0.45515277450726865,0.4936476410932869,0.4842105263157893,0.4946666666666666
tail20,token_equal,90,73,20,6082,488,18,0.92572298325723,0.6575342465753424,1.0,0.9858666382907807,0.9583333333333334,1.0,0.8637356579683667,0.7994662133747737,0.9274384947499145,0.8719653375296114,0.870748299319728,0.8741935483870968
tail20,class_equal,90,73,20,6082,488,18,0.9284907407407407,0.6541666666666667,1.0,0.986501624431449,0.9444444444444444,1.0,0.864640728803656,0.8030735382214298,0.9329828525665301,0.8780996317955382,0.875925925925926,0.8783333333333333
non_tail80,token_equal,90,1443,80,123266,6604,76,0.949149149149149,0.6798336798336798,1.0,0.9548324056201478,0.8589181286549707,0.9970958373668926,0.2867857939431737,0.2672400156230707,0.3014660199710776,0.3529097277917566,0.33550798504926943,0.3566738044254104
non_tail80,class_equal,90,1443,80,123266,6604,76,0.9451030870335096,0.6558991272360711,1.0,0.958532059616599,0.8578310107439784,0.9969100947361815,0.33522378008535514,0.32410202594888604,0.3522133535911065,0.3981309121311896,0.3926406926406926,0.39875
