round,group,token_count,supported_token_count,unsupported_token_count,class_count,supported_class_count,averaging,supported_fraction,nonholder_exists_given_supported,nonholder_positive_share_given_supported,nonholder_candidate_share_given_supported
16,tail20,73,62,11,20,20,token_equal,0.8493150684931506,0.9838709677419355,0.9007417248483491,0.8741935483870968
16,tail20,73,62,11,20,20,class_equal,0.8683333333333334,0.975,0.8838084618081735,0.8783333333333333
16,non_tail80,1443,1336,107,80,80,token_equal,0.9258489258489259,0.8764970059880239,0.28871433512213146,0.3528193612774451
16,non_tail80,1443,1336,107,80,80,class_equal,0.9195539242043946,0.8791891221644974,0.3389970344522117,0.39875
17,all,1516,1435,81,100,100,token_equal,0.9465699208443272,0.8641114982578397,0.32052278537956824,0.37914053426248545
17,all,1516,1435,81,100,100,class_equal,0.9414084985634755,0.8779314752618496,0.4497866855639441,0.4946666666666666
17,tail20,73,67,6,20,20,token_equal,0.9178082191780822,0.9701492537313433,0.9096910894174295,0.8726368159203981
17,tail20,73,67,6,20,20,class_equal,0.9258333333333333,0.9583333333333333,0.8958371775181508,0.8783333333333333
17,non_tail80,1443,1368,75,80,80,token_equal,0.9480249480249481,0.8589181286549707,0.2916673201964274,0.35497076023391816
17,non_tail80,1443,1368,75,80,80,class_equal,0.9453022898710113,0.8578310107439784,0.33827406257539233,0.39875
18,all,1516,1417,99,100,100,token_equal,0.9346965699208444,0.8743824982357092,0.31759240189424226,0.3770171724300165
18,all,1516,1417,99,100,100,class_equal,0.9245518683687649,0.8878449088616474,0.4486638120875026,0.4946666666666666
18,tail20,73,64,9,20,20,token_equal,0.8767123287671232,0.96875,0.9082672560587226,0.8734375000000002
18,tail20,73,64,9,20,20,class_equal,0.8908333333333334,0.95,0.8884245284358784,0.8783333333333333
18,non_tail80,1443,1353,90,80,80,token_equal,0.9376299376299376,0.8699186991869918,0.2896521279352424,0.35353535353535354
18,non_tail80,1443,1353,90,80,80,class_equal,0.9329815021276229,0.8723061360770592,0.33872363300040875,0.39875
19,all,1516,1469,47,100,100,token_equal,0.9689973614775725,0.8801906058543226,0.3131628527049431,0.3805763557975947
19,all,1516,1469,47,100,100,class_equal,0.9659726862763476,0.9019968023178717,0.4466982866670564,0.4946666666666666
19,tail20,73,68,5,20,20,token_equal,0.9315068493150684,0.9852941176470589,0.92144262819165,0.8730392156862745
19,tail20,73,68,5,20,20,class_equal,0.9425000000000001,0.9833333333333332,0.9189592038121406,0.8783333333333333
19,non_tail80,1443,1401,42,80,80,token_equal,0.9708939708939709,0.875089221984297,0.2836389235592643,0.3566738044254104
19,non_tail80,1443,1401,42,80,80,class_equal,0.9718408578454344,0.8816626695640064,0.32863305738078535,0.39875
20,all,1516,1456,60,100,100,token_equal,0.9604221635883905,0.8791208791208791,0.31266055386899266,0.37779304029304034
20,all,1516,1456,60,100,100,class_equal,0.950363643704376,0.8975289641443195,0.4446786983889438,0.4946666666666666
