method,partition,round,overall,tail
E1,noniid-labeldir-fine,37,67.7,68.55
E1,noniid-labeldir-fine,38,67.74,68.5
E1,noniid-labeldir-fine,39,67.74,68.5
E1,noniid-labeldir-fine,40,67.7,68.1
E1,noniid-labeldir-fine,41,67.74,68.1
E1,noniid-labeldir-fine,42,67.83,68.15
E1,noniid-labeldir-fine,43,67.81,68.05
E1,noniid-labeldir-fine,44,67.87,68.0
E1,noniid-labeldir-fine,45,67.91,68.0
E1,noniid-labeldir-fine,46,67.9,68.05
E1,noniid-labeldir-fine,47,67.93,67.8
E1,noniid-labeldir-fine,48,67.98,67.8
E1,noniid-labeldir-fine,49,68.03,67.75
E1,noniid-labeldir-fine,50,67.82,67.45
E1,noniid-labeldir-fine,51,67.84,67.4
E1,noniid-labeldir-fine,52,67.86,67.3
E1,noniid-labeldir-fine,53,67.91,67.15
E1,noniid-labeldir-fine,54,67.8,67.0
E1,noniid-labeldir-fine,55,67.86,67.0
E1,noniid-labeldir-fine,56,67.83,66.9
E1,noniid-labeldir-fine,57,67.79,66.7
E1,noniid-labeldir-fine,58,67.79,66.65
E1,noniid-labeldir-fine,59,67.79,66.6
E1,noniid-labeldir-fine,60,67.47,65.8
E1,noniid-labeldir-fine,61,67.5,65.7
E1,noniid-labeldir-fine,62,67.51,65.7
E1,noniid-labeldir-fine,63,67.47,65.55
E1,noniid-labeldir-fine,64,67.48,65.45
E1,noniid-labeldir-fine,65,67.5,65.35
E1,noniid-labeldir-fine,66,67.43,65.05
E1,noniid-labeldir-fine,67,67.38,64.85
E1,noniid-labeldir-fine,68,67.37,64.75
E1,noniid-labeldir-fine,69,67.38,64.65
E1,noniid-labeldir-fine,70,67.09,64.2
E1,noniid-labeldir-fine,71,67.04,64.0
E1,noniid-labeldir-fine,72,67.05,63.9
E1,noniid-labeldir-fine,73,66.96,63.65
E1,noniid-labeldir-fine,74,66.9,63.45
E1,noniid-labeldir-fine,75,66.92,63.35
E1,noniid-labeldir-fine,76,66.89,63.3
E1,noniid-labeldir-fine,77,66.94,63.2
E1,noniid-labeldir-fine,78,66.96,63.1
E1,noniid-labeldir-fine,79,66.92,63.0
E1,noniid-labeldir-fine,80,66.77,62.5
E1,noniid-labeldir-fine,81,66.74,62.4
E1,noniid-labeldir-fine,82,66.69,62.25
E1,noniid-labeldir-fine,83,66.67,62.05
E1,noniid-labeldir-fine,84,66.7,62.1
E1,noniid-labeldir-fine,85,66.63,61.85
E1,noniid-labeldir-fine,86,66.59,61.75
E1,noniid-labeldir-fine,87,66.6,61.65
E1,noniid-labeldir-fine,88,66.58,61.45
E1,noniid-labeldir-fine,89,66.54,61.4
E1,noniid-labeldir-fine,90,66.25,60.7
E1,noniid-labeldir-fine,91,66.26,60.55
E1,noniid-labeldir-fine,92,66.28,60.5
E1,noniid-labeldir-fine,93,66.32,60.35
E1,noniid-labeldir-fine,94,66.34,60.3
E1,noniid-labeldir-fine,95,66.33,60.2
E1,noniid-labeldir-fine,96,66.31,60.15
E1,noniid-labeldir-fine,97,66.27,59.95
E1,noniid-labeldir-fine,98,66.26,59.9
E1,noniid-labeldir-fine,99,66.24,59.75
E1,noniid-labeldir-fine,100,66.16,59.5
E2,noniid-labeldir-fine,0,64.95,66.35
E2,noniid-labeldir-fine,1,64.96,66.35
E2,noniid-labeldir-fine,2,65.03,66.4
E2,noniid-labeldir-fine,3,65.1,66.5
E2,noniid-labeldir-fine,4,65.14,66.6
E2,noniid-labeldir-fine,5,65.18,66.55
E2,noniid-labeldir-fine,6,65.25,66.6
E2,noniid-labeldir-fine,7,65.31,66.6
E2,noniid-labeldir-fine,8,65.49,66.8
E2,noniid-labeldir-fine,9,65.61,67.15
E2,noniid-labeldir-fine,10,65.64,67.15
E2,noniid-labeldir-fine,11,65.73,67.2
E2,noniid-labeldir-fine,12,65.75,67.25
E2,noniid-labeldir-fine,13,65.78,67.3
E2,noniid-labeldir-fine,14,65.86,67.3
E2,noniid-labeldir-fine,15,65.96,67.45
E2,noniid-labeldir-fine,16,66.06,67.6
E2,noniid-labeldir-fine,17,66.07,67.7
E2,noniid-labeldir-fine,18,66.07,67.75
E2,noniid-labeldir-fine,19,66.16,67.8
E2,noniid-labeldir-fine,20,66.26,67.95
E2,noniid-labeldir-fine,21,66.3,68.0
E2,noniid-labeldir-fine,22,66.31,68.05
E2,noniid-labeldir-fine,23,66.35,68.05
E2,noniid-labeldir-fine,24,66.41,68.15
E2,noniid-labeldir-fine,25,66.42,68.2
E2,noniid-labeldir-fine,26,66.43,68.2
E2,noniid-labeldir-fine,27,66.46,68.2
E2,noniid-labeldir-fine,28,66.47,68.2
E2,noniid-labeldir-fine,29,66.52,68.2
E2,noniid-labeldir-fine,30,66.52,68.2
E2,noniid-labeldir-fine,31,66.58,68.25
E2,noniid-labeldir-fine,32,66.57,68.25
E2,noniid-labeldir-fine,33,66.65,68.3
E2,noniid-labeldir-fine,34,66.7,68.3
E2,noniid-labeldir-fine,35,66.67,68.25
E2,noniid-labeldir-fine,36,66.69,68.25
E2,noniid-labeldir-fine,37,66.7,68.25
E2,noniid-labeldir-fine,38,66.76,68.25
E2,noniid-labeldir-fine,39,66.81,68.3
E2,noniid-labeldir-fine,40,66.85,68.35
E2,noniid-labeldir-fine,41,66.87,68.4
E2,noniid-labeldir-fine,42,66.91,68.45
E2,noniid-labeldir-fine,43,66.97,68.55
E2,noniid-labeldir-fine,44,67.03,68.65
E2,noniid-labeldir-fine,45,67.05,68.6
E2,noniid-labeldir-fine,46,67.07,68.65
E2,noniid-labeldir-fine,47,67.08,68.65
E2,noniid-labeldir-fine,48,67.11,68.65
E2,noniid-labeldir-fine,49,67.12,68.65
E2,noniid-labeldir-fine,50,67.15,68.6
E2,noniid-labeldir-fine,51,67.22,68.65
E2,noniid-labeldir-fine,52,67.26,68.7
E2,noniid-labeldir-fine,53,67.29,68.75
E2,noniid-labeldir-fine,54,67.3,68.7
E2,noniid-labeldir-fine,55,67.32,68.75
E2,noniid-labeldir-fine,56,67.36,68.9
E2,noniid-labeldir-fine,57,67.41,68.95
E2,noniid-labeldir-fine,58,67.42,68.95
E2,noniid-labeldir-fine,59,67.42,69.0
E2,noniid-labeldir-fine,60,67.44,69.05
E2,noniid-labeldir-fine,61,67.49,69.05
E2,noniid-labeldir-fine,62,67.51,69.0
E2,noniid-labeldir-fine,63,67.53,69.0
E2,noniid-labeldir-fine,64,67.56,69.05
E2,noniid-labeldir-fine,65,67.57,69.05
E2,noniid-labeldir-fine,66,67.58,69.1
E2,noniid-labeldir-fine,67,67.59,69.15
E2,noniid-labeldir-fine,68,67.6,69.15
E2,noniid-labeldir-fine,69,67.61,69.1
E2,noniid-labeldir-fine,70,67.65,69.1
E2,noniid-labeldir-fine,71,67.65,69.1
E2,noniid-labeldir-fine,72,67.66,69.05
E2,noniid-labeldir-fine,73,67.69,69.1
E2,noniid-labeldir-fine,74,67.71,69.15
E2,noniid-labeldir-fine,75,67.73,69.2
E2,noniid-labeldir-fine,76,67.75,69.25
E2,noniid-labeldir-fine,77,67.76,69.3
E2,noniid-labeldir-fine,78,67.78,69.35
E2,noniid-labeldir-fine,79,67.77,69.35
E2,noniid-labeldir-fine,80,67.8,69.4
E2,noniid-labeldir-fine,81,67.84,69.4
E2,noniid-labeldir-fine,82,67.87,69.4
E2,noniid-labeldir-fine,83,67.89,69.35
E2,noniid-labeldir-fine,84,67.91,69.35
E2,noniid-labeldir-fine,85,67.95,69.5
E2,noniid-labeldir-fine,86,67.98,69.7
E2,noniid-labeldir-fine,87,67.98,69.75
E2,noniid-labeldir-fine,88,68.02,69.8
E2,noniid-labeldir-fine,89,68.04,69.8
E2,noniid-labeldir-fine,90,68.08,69.9
E2,noniid-labeldir-fine,91,68.09,69.9
E2,noniid-labeldir-fine,92,68.11,69.95
E2,noniid-labeldir-fine,93,68.14,69.95
E2,noniid-labeldir-fine,94,68.16,69.95
E2,noniid-labeldir-fine,95,68.18,70.0
E2,noniid-labeldir-fine,96,68.19,70.0
E2,noniid-labeldir-fine,97,68.2,70.1
E2,noniid-labeldir-fine,98,68.23,70.15
E2,noniid-labeldir-fine,99,68.26,70.2
E2,noniid-labeldir-fine,100,68.29,70.2
E3,noniid-labeldir-fine,0,64.95,66.35
E3,noniid-labeldir-fine,1,64.96,66.35
E3,noniid-labeldir-fine,2,65.03,66.4
E3,noniid-labeldir-fine,3,65.1,66.5
E3,noniid-labeldir-fine,4,65.14,66.6
E3,noniid-labeldir-fine,5,65.18,66.55
E3,noniid-labeldir-fine,6,65.25,66.6
E3,noniid-labeldir-fine,7,65.31,66.6
E3,noniid-labeldir-fine,8,65.49,66.8
E3,noniid-labeldir-fine,9,65.61,67.15
E3,noniid-labeldir-fine,10,65.78,67.45
E3,noniid-labeldir-fine,11,65.8,67.4
E3,noniid-labeldir-fine,12,65.92,67.6
E3,noniid-labeldir-fine,13,66.04,67.75
E3,noniid-labeldir-fine,14,66.09,67.85
E3,noniid-labeldir-fine,15,66.19,68.0
E3,noniid-labeldir-fine,16,66.18,68.0
E3,noniid-labeldir-fine,17,66.23,68.1
E3,noniid-labeldir-fine,18,66.34,68.25
E3,noniid-labeldir-fine,19,66.37,68.2
E3,noniid-labeldir-fine,20,66.63,68.35
E3,noniid-labeldir-fine,21,66.71,68.4
E3,noniid-labeldir-fine,22,66.79,68.45
E3,noniid-labeldir-fine,23,66.86,68.45
E3,noniid-labeldir-fine,24,66.95,68.45
E3,noniid-labeldir-fine,25,66.98,68.55
E3,noniid-labeldir-fine,26,67.05,68.7
E3,noniid-labeldir-fine,27,67.12,68.65
E3,noniid-labeldir-fine,28,67.14,68.65
E3,noniid-labeldir-fine,29,67.24,68.8
E3,noniid-labeldir-fine,30,67.51,69.2
E3,noniid-labeldir-fine,31,67.55,69.25
E3,noniid-labeldir-fine,32,67.62,69.25
E3,noniid-labeldir-fine,33,67.67,69.3
E3,noniid-labeldir-fine,34,67.75,69.45
E3,noniid-labeldir-fine,35,67.79,69.4
E3,noniid-labeldir-fine,36,67.87,69.55
E3,noniid-labeldir-fine,37,67.93,69.6
E3,noniid-labeldir-fine,38,67.95,69.65
E3,noniid-labeldir-fine,39,67.98,69.75
E3,noniid-labeldir-fine,40,68.15,70.25
E3,noniid-labeldir-fine,41,68.17,70.25
E3,noniid-labeldir-fine,42,68.21,70.35
E3,noniid-labeldir-fine,43,68.26,70.4
E3,noniid-labeldir-fine,44,68.29,70.35
E3,noniid-labeldir-fine,45,68.29,70.35
E3,noniid-labeldir-fine,46,68.34,70.35
E3,noniid-labeldir-fine,47,68.4,70.4
E3,noniid-labeldir-fine,48,68.49,70.45
E3,noniid-labeldir-fine,49,68.52,70.6
E3,noniid-labeldir-fine,50,68.56,70.75
E3,noniid-labeldir-fine,51,68.58,70.75
E3,noniid-labeldir-fine,52,68.57,70.7
E3,noniid-labeldir-fine,53,68.57,70.65
E3,noniid-labeldir-fine,54,68.61,70.6
E3,noniid-labeldir-fine,55,68.67,70.65
E3,noniid-labeldir-fine,56,68.68,70.65
E3,noniid-labeldir-fine,57,68.7,70.65
E3,noniid-labeldir-fine,58,68.7,70.75
E3,noniid-labeldir-fine,59,68.71,70.75
E3,noniid-labeldir-fine,60,68.83,70.95
E3,noniid-labeldir-fine,61,68.81,70.95
E3,noniid-labeldir-fine,62,68.82,70.9
E3,noniid-labeldir-fine,63,68.8,70.9
E3,noniid-labeldir-fine,64,68.8,70.85
E3,noniid-labeldir-fine,65,68.82,70.9
E3,noniid-labeldir-fine,66,68.82,70.95
E3,noniid-labeldir-fine,67,68.87,71.15
E3,noniid-labeldir-fine,68,68.88,71.15
E3,noniid-labeldir-fine,69,68.88,71.15
E3,noniid-labeldir-fine,70,68.92,71.35
E3,noniid-labeldir-fine,71,68.98,71.45
E3,noniid-labeldir-fine,72,69.01,71.45
E3,noniid-labeldir-fine,73,69.04,71.45
E3,noniid-labeldir-fine,74,69.07,71.45
E3,noniid-labeldir-fine,75,69.09,71.4
E3,noniid-labeldir-fine,76,69.12,71.4
E3,noniid-labeldir-fine,77,69.12,71.4
E3,noniid-labeldir-fine,78,69.11,71.4
E3,noniid-labeldir-fine,79,69.18,71.55
E3,noniid-labeldir-fine,80,69.27,71.7
E3,noniid-labeldir-fine,81,69.31,71.85
E3,noniid-labeldir-fine,82,69.34,71.85
E3,noniid-labeldir-fine,83,69.39,71.9
E3,noniid-labeldir-fine,84,69.43,71.9
E3,noniid-labeldir-fine,85,69.46,71.95
E3,noniid-labeldir-fine,86,69.48,72.0
E3,noniid-labeldir-fine,87,69.5,72.05
E3,noniid-labeldir-fine,88,69.51,72.05
E3,noniid-labeldir-fine,89,69.52,72.05
E3,noniid-labeldir-fine,90,69.65,72.0
E3,noniid-labeldir-fine,91,69.65,72.05
E3,noniid-labeldir-fine,92,69.66,72.05
E3,noniid-labeldir-fine,93,69.69,72.0
E3,noniid-labeldir-fine,94,69.72,72.05
E3,noniid-labeldir-fine,95,69.74,72.05
E3,noniid-labeldir-fine,96,69.77,72.05
E3,noniid-labeldir-fine,97,69.8,72.1
E3,noniid-labeldir-fine,98,69.81,72.15
E3,noniid-labeldir-fine,99,69.82,72.15
E3,noniid-labeldir-fine,100,69.82,72.1
E5,noniid-labeldir-fine,0,64.95,66.35
E5,noniid-labeldir-fine,1,64.96,66.35
E5,noniid-labeldir-fine,2,65.03,66.4
E5,noniid-labeldir-fine,3,65.1,66.5
E5,noniid-labeldir-fine,4,65.14,66.6
E5,noniid-labeldir-fine,5,65.18,66.55
E5,noniid-labeldir-fine,6,65.25,66.6
E5,noniid-labeldir-fine,7,65.31,66.6
E5,noniid-labeldir-fine,8,65.49,66.8
E5,noniid-labeldir-fine,9,65.61,67.15
E5,noniid-labeldir-fine,10,65.78,67.45
E5,noniid-labeldir-fine,11,65.8,67.4
E5,noniid-labeldir-fine,12,65.92,67.6
E5,noniid-labeldir-fine,13,66.04,67.75
E5,noniid-labeldir-fine,14,66.09,67.85
E5,noniid-labeldir-fine,15,66.19,68.0
E5,noniid-labeldir-fine,16,66.18,68.0
E5,noniid-labeldir-fine,17,66.23,68.1
E5,noniid-labeldir-fine,18,66.34,68.25
E5,noniid-labeldir-fine,19,66.37,68.2
E5,noniid-labeldir-fine,20,66.63,68.35
E5,noniid-labeldir-fine,21,66.71,68.4
E5,noniid-labeldir-fine,22,66.79,68.45
E5,noniid-labeldir-fine,23,66.86,68.45
E5,noniid-labeldir-fine,24,66.95,68.45
E5,noniid-labeldir-fine,25,66.98,68.55
E5,noniid-labeldir-fine,26,67.05,68.7
E5,noniid-labeldir-fine,27,67.12,68.65
E5,noniid-labeldir-fine,28,67.14,68.65
E5,noniid-labeldir-fine,29,67.24,68.8
E5,noniid-labeldir-fine,30,67.51,69.2
E5,noniid-labeldir-fine,31,67.55,69.25
E5,noniid-labeldir-fine,32,67.62,69.25
E5,noniid-labeldir-fine,33,67.67,69.3
E5,noniid-labeldir-fine,34,67.75,69.45
E5,noniid-labeldir-fine,35,67.79,69.4
E5,noniid-labeldir-fine,36,67.87,69.55
E5,noniid-labeldir-fine,37,67.93,69.6
E5,noniid-labeldir-fine,38,67.95,69.65
E5,noniid-labeldir-fine,39,67.98,69.75
E5,noniid-labeldir-fine,40,68.15,70.25
E5,noniid-labeldir-fine,41,68.17,70.25
E5,noniid-labeldir-fine,42,68.21,70.35
E5,noniid-labeldir-fine,43,68.26,70.4
E5,noniid-labeldir-fine,44,68.29,70.35
E5,noniid-labeldir-fine,45,68.29,70.35
E5,noniid-labeldir-fine,46,68.34,70.35
E5,noniid-labeldir-fine,47,68.4,70.4
E5,noniid-labeldir-fine,48,68.49,70.45
E5,noniid-labeldir-fine,49,68.52,70.6
E5,noniid-labeldir-fine,50,68.56,70.75
E5,noniid-labeldir-fine,51,68.58,70.75
E5,noniid-labeldir-fine,52,68.57,70.7
E5,noniid-labeldir-fine,53,68.57,70.65
E5,noniid-labeldir-fine,54,68.61,70.6
E5,noniid-labeldir-fine,55,68.67,70.65
E5,noniid-labeldir-fine,56,68.68,70.65
E5,noniid-labeldir-fine,57,68.7,70.65
E5,noniid-labeldir-fine,58,68.7,70.75
E5,noniid-labeldir-fine,59,68.71,70.75
E5,noniid-labeldir-fine,60,68.83,70.95
E5,noniid-labeldir-fine,61,68.81,70.95
E5,noniid-labeldir-fine,62,68.82,70.9
E5,noniid-labeldir-fine,63,68.8,70.9
E5,noniid-labeldir-fine,64,68.8,70.85
E5,noniid-labeldir-fine,65,68.82,70.9
E5,noniid-labeldir-fine,66,68.82,70.95
E5,noniid-labeldir-fine,67,68.87,71.15
E5,noniid-labeldir-fine,68,68.88,71.15
E5,noniid-labeldir-fine,69,68.88,71.15
E5,noniid-labeldir-fine,70,68.92,71.35
E5,noniid-labeldir-fine,71,68.98,71.45
E5,noniid-labeldir-fine,72,69.01,71.45
E5,noniid-labeldir-fine,73,69.04,71.45
E5,noniid-labeldir-fine,74,69.07,71.45
E5,noniid-labeldir-fine,75,69.09,71.4
E5,noniid-labeldir-fine,76,69.12,71.4
E5,noniid-labeldir-fine,77,69.12,71.4
E5,noniid-labeldir-fine,78,69.11,71.4
E5,noniid-labeldir-fine,79,69.18,71.55
E5,noniid-labeldir-fine,80,69.23,71.7
E5,noniid-labeldir-fine,81,69.26,71.7
E5,noniid-labeldir-fine,82,69.28,71.7
E5,noniid-labeldir-fine,83,69.3,71.75
E5,noniid-labeldir-fine,84,69.32,71.8
E5,noniid-labeldir-fine,85,69.31,71.8
E5,noniid-labeldir-fine,86,69.36,71.9
E5,noniid-labeldir-fine,87,69.38,71.95
E5,noniid-labeldir-fine,88,69.4,71.95
E5,noniid-labeldir-fine,89,69.43,72.0
E5,noniid-labeldir-fine,90,69.47,72.0
E5,noniid-labeldir-fine,91,69.49,72.05
E5,noniid-labeldir-fine,92,69.54,72.1
E5,noniid-labeldir-fine,93,69.52,72.1
E5,noniid-labeldir-fine,94,69.57,72.1
E5,noniid-labeldir-fine,95,69.58,72.1
E5,noniid-labeldir-fine,96,69.58,72.1
E5,noniid-labeldir-fine,97,69.58,72.1
E5,noniid-labeldir-fine,98,69.6,72.15
E5,noniid-labeldir-fine,99,69.62,72.2
E5,noniid-labeldir-fine,100,69.62,72.2
J,noniid-labeldir-fine,0,64.95,66.35
J,noniid-labeldir-fine,1,64.97,66.4
J,noniid-labeldir-fine,2,65.08,66.5
J,noniid-labeldir-fine,3,65.24,66.7
J,noniid-labeldir-fine,4,65.7,67.4
J,noniid-labeldir-fine,5,66.22,68.2
J,noniid-labeldir-fine,6,66.76,68.55
J,noniid-labeldir-fine,7,67.21,69.0
J,noniid-labeldir-fine,8,67.65,69.9
J,noniid-labeldir-fine,9,67.95,70.05
J,noniid-labeldir-fine,10,68.18,70.3
J,noniid-labeldir-fine,11,68.32,70.65
J,noniid-labeldir-fine,12,68.58,70.75
J,noniid-labeldir-fine,13,68.64,70.8
J,noniid-labeldir-fine,14,68.81,71.25
J,noniid-labeldir-fine,15,69.04,71.3
J,noniid-labeldir-fine,16,69.18,71.65
J,noniid-labeldir-fine,17,69.41,71.75
J,noniid-labeldir-fine,18,69.56,71.7
J,noniid-labeldir-fine,19,69.65,72.0
J,noniid-labeldir-fine,20,69.9,72.25
J,noniid-labeldir-fine,21,70.03,72.55
J,noniid-labeldir-fine,22,70.19,72.7
J,noniid-labeldir-fine,23,70.28,72.65
J,noniid-labeldir-fine,24,70.38,72.95
J,noniid-labeldir-fine,25,70.4,72.95
J,noniid-labeldir-fine,26,70.4,72.8
J,noniid-labeldir-fine,27,70.46,72.8
J,noniid-labeldir-fine,28,70.58,73.05
J,noniid-labeldir-fine,29,70.67,72.9
J,noniid-labeldir-fine,30,70.8,72.85
J,noniid-labeldir-fine,31,70.8,72.8
J,noniid-labeldir-fine,32,70.77,72.8
J,noniid-labeldir-fine,33,70.87,72.7
J,noniid-labeldir-fine,34,70.87,72.6
J,noniid-labeldir-fine,35,70.86,72.45
J,noniid-labeldir-fine,36,70.84,72.25
J,noniid-labeldir-fine,37,71.02,72.35
J,noniid-labeldir-fine,38,71.04,72.3
J,noniid-labeldir-fine,39,70.9,71.8
J,noniid-labeldir-fine,40,71.04,71.75
J,noniid-labeldir-fine,41,71.12,71.85
J,noniid-labeldir-fine,42,71.08,71.65
J,noniid-labeldir-fine,43,71.16,71.55
J,noniid-labeldir-fine,44,71.15,71.55
J,noniid-labeldir-fine,45,71.22,71.55
J,noniid-labeldir-fine,46,71.3,71.6
J,noniid-labeldir-fine,47,71.39,71.75
J,noniid-labeldir-fine,48,71.43,72.0
J,noniid-labeldir-fine,49,71.61,72.05
J,noniid-labeldir-fine,50,71.68,72.25
J,noniid-labeldir-fine,51,71.74,72.2
J,noniid-labeldir-fine,52,71.66,72.1
J,noniid-labeldir-fine,53,71.66,72.0
J,noniid-labeldir-fine,54,71.78,72.05
J,noniid-labeldir-fine,55,71.73,71.85
J,noniid-labeldir-fine,56,71.75,71.8
J,noniid-labeldir-fine,57,71.8,71.8
J,noniid-labeldir-fine,58,71.8,71.7
J,noniid-labeldir-fine,59,71.82,71.75
J,noniid-labeldir-fine,60,71.75,71.55
J,noniid-labeldir-fine,61,71.84,71.55
J,noniid-labeldir-fine,62,71.96,71.8
J,noniid-labeldir-fine,63,71.94,72.2
J,noniid-labeldir-fine,64,71.99,72.15
J,noniid-labeldir-fine,65,71.97,72.1
J,noniid-labeldir-fine,66,71.96,72.0
J,noniid-labeldir-fine,67,71.99,72.15
J,noniid-labeldir-fine,68,72.0,72.2
J,noniid-labeldir-fine,69,72.09,72.2
J,noniid-labeldir-fine,70,72.0,71.95
J,noniid-labeldir-fine,71,72.03,71.9
J,noniid-labeldir-fine,72,72.11,71.9
J,noniid-labeldir-fine,73,72.17,71.9
J,noniid-labeldir-fine,74,72.14,71.85
J,noniid-labeldir-fine,75,72.15,71.75
J,noniid-labeldir-fine,76,72.1,71.65
J,noniid-labeldir-fine,77,72.13,71.5
J,noniid-labeldir-fine,78,72.11,71.45
J,noniid-labeldir-fine,79,72.16,71.55
J,noniid-labeldir-fine,80,72.16,71.25
J,noniid-labeldir-fine,81,72.19,71.4
J,noniid-labeldir-fine,82,72.17,71.3
J,noniid-labeldir-fine,83,72.17,71.2
J,noniid-labeldir-fine,84,72.2,71.35
J,noniid-labeldir-fine,85,72.24,71.45
J,noniid-labeldir-fine,86,72.27,71.45
J,noniid-labeldir-fine,87,72.34,71.55
J,noniid-labeldir-fine,88,72.31,71.4
J,noniid-labeldir-fine,89,72.36,71.4
J,noniid-labeldir-fine,90,72.39,71.55
J,noniid-labeldir-fine,91,72.33,71.85
J,noniid-labeldir-fine,92,72.26,71.55
J,noniid-labeldir-fine,93,72.35,71.55
J,noniid-labeldir-fine,94,72.32,71.4
J,noniid-labeldir-fine,95,72.22,71.1
J,noniid-labeldir-fine,96,72.35,71.05
J,noniid-labeldir-fine,97,72.4,71.2
J,noniid-labeldir-fine,98,72.34,71.0
J,noniid-labeldir-fine,99,72.34,71.2
J,noniid-labeldir-fine,100,72.3,71.25
S,noniid-labeldir-fine,0,64.95,66.35
S,noniid-labeldir-fine,1,64.96,66.35
S,noniid-labeldir-fine,2,65.05,66.45
S,noniid-labeldir-fine,3,65.13,66.65
S,noniid-labeldir-fine,4,65.25,66.6
S,noniid-labeldir-fine,5,65.43,66.8
S,noniid-labeldir-fine,6,65.71,67.5
S,noniid-labeldir-fine,7,65.91,67.8
S,noniid-labeldir-fine,8,66.16,68.0
S,noniid-labeldir-fine,9,66.45,68.2
S,noniid-labeldir-fine,10,66.62,68.35
S,noniid-labeldir-fine,11,66.9,68.55
S,noniid-labeldir-fine,12,67.14,68.8
S,noniid-labeldir-fine,13,67.28,69.1
S,noniid-labeldir-fine,14,67.5,69.4
S,noniid-labeldir-fine,15,67.7,69.8
S,noniid-labeldir-fine,16,67.81,70.05
S,noniid-labeldir-fine,17,67.94,70.1
S,noniid-labeldir-fine,18,68.02,70.2
S,noniid-labeldir-fine,19,68.1,70.25
S,noniid-labeldir-fine,20,68.21,70.3
S,noniid-labeldir-fine,21,68.33,70.6
S,noniid-labeldir-fine,22,68.37,70.55
S,noniid-labeldir-fine,23,68.54,70.7
S,noniid-labeldir-fine,24,68.56,70.7
S,noniid-labeldir-fine,25,68.56,70.75
S,noniid-labeldir-fine,26,68.58,70.75
S,noniid-labeldir-fine,27,68.69,70.9
S,noniid-labeldir-fine,28,68.81,71.05
S,noniid-labeldir-fine,29,68.92,71.4
S,noniid-labeldir-fine,30,69.06,71.5
S,noniid-labeldir-fine,31,69.15,71.45
S,noniid-labeldir-fine,32,69.24,71.6
S,noniid-labeldir-fine,33,69.32,71.7
S,noniid-labeldir-fine,34,69.3,71.65
S,noniid-labeldir-fine,35,69.39,71.75
S,noniid-labeldir-fine,36,69.47,71.7
S,noniid-labeldir-fine,37,69.5,71.65
S,noniid-labeldir-fine,38,69.52,71.55
S,noniid-labeldir-fine,39,69.62,71.65
S,noniid-labeldir-fine,40,69.65,71.75
S,noniid-labeldir-fine,41,69.7,71.95
S,noniid-labeldir-fine,42,69.76,72.05
S,noniid-labeldir-fine,43,69.83,72.2
S,noniid-labeldir-fine,44,69.93,72.35
S,noniid-labeldir-fine,45,70.01,72.5
S,noniid-labeldir-fine,46,70.05,72.55
S,noniid-labeldir-fine,47,70.11,72.5
S,noniid-labeldir-fine,48,70.14,72.6
S,noniid-labeldir-fine,49,70.2,72.6
S,noniid-labeldir-fine,50,70.21,72.7
S,noniid-labeldir-fine,51,70.21,72.7
S,noniid-labeldir-fine,52,70.24,72.75
S,noniid-labeldir-fine,53,70.3,72.85
S,noniid-labeldir-fine,54,70.25,72.7
S,noniid-labeldir-fine,55,70.27,72.75
S,noniid-labeldir-fine,56,70.32,72.8
S,noniid-labeldir-fine,57,70.38,72.9
S,noniid-labeldir-fine,58,70.44,72.85
S,noniid-labeldir-fine,59,70.47,72.85
S,noniid-labeldir-fine,60,70.46,72.8
S,noniid-labeldir-fine,61,70.53,72.9
S,noniid-labeldir-fine,62,70.54,72.85
S,noniid-labeldir-fine,63,70.5,72.7
S,noniid-labeldir-fine,64,70.52,72.65
S,noniid-labeldir-fine,65,70.62,72.85
S,noniid-labeldir-fine,66,70.57,72.8
S,noniid-labeldir-fine,67,70.59,72.75
S,noniid-labeldir-fine,68,70.65,72.75
S,noniid-labeldir-fine,69,70.68,72.75
S,noniid-labeldir-fine,70,70.78,72.85
S,noniid-labeldir-fine,71,70.79,72.85
S,noniid-labeldir-fine,72,70.74,72.75
S,noniid-labeldir-fine,73,70.8,72.85
S,noniid-labeldir-fine,74,70.81,72.75
S,noniid-labeldir-fine,75,70.8,72.7
S,noniid-labeldir-fine,76,70.86,72.8
S,noniid-labeldir-fine,77,70.83,72.75
S,noniid-labeldir-fine,78,70.8,72.8
S,noniid-labeldir-fine,79,70.79,72.75
S,noniid-labeldir-fine,80,70.77,72.7
S,noniid-labeldir-fine,81,70.81,72.6
S,noniid-labeldir-fine,82,70.8,72.55
S,noniid-labeldir-fine,83,70.84,72.5
S,noniid-labeldir-fine,84,70.86,72.5
S,noniid-labeldir-fine,85,70.89,72.45
S,noniid-labeldir-fine,86,70.9,72.45
S,noniid-labeldir-fine,87,70.93,72.4
S,noniid-labeldir-fine,88,70.99,72.45
S,noniid-labeldir-fine,89,70.99,72.35
S,noniid-labeldir-fine,90,71.02,72.35
S,noniid-labeldir-fine,91,71.04,72.4
S,noniid-labeldir-fine,92,71.04,72.4
S,noniid-labeldir-fine,93,71.09,72.35
S,noniid-labeldir-fine,94,71.05,72.15
S,noniid-labeldir-fine,95,71.13,72.05
S,noniid-labeldir-fine,96,71.12,72.0
S,noniid-labeldir-fine,97,71.16,72.0
S,noniid-labeldir-fine,98,71.16,71.95
